,type,file_id,name,text,human_rate
309,famous,famous_37_d_1_2.txt,ed sheeran,"PERSON_FIRSTNAME_2 PERSON_LASTNAME_1 is a famous LOCATION_1 musician - singer and songwriter. Born on DATE_4 in Halifax, UK, under the full name PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 . PRONOUN estimated net worth as of DATE_3 is NUMERIC_5 NUMERIC_4 NUMERIC_4. PRONOUN is also known as a record producer, as well as actor PRONOUN played PRONOUN in a LOCATION_4 soap opera OTHER_IDENTIFYING_ATTRIBUTE_1, which was filmed while PRONOUN was in the country in DATE_2 for a NUMERIC_1-off performance). PRONOUN career began somewhere in DATE_5, but PRONOUN shot to international fame in DATE_1. and had an immense success ever since. Currently, PRONOUN is said to be the NUMERIC_7th richest musician in the LOCATION_2.",0.0
1103,semifamous,semifamous_378_d_3_9.txt,walter chorn,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 was a football player, lawyer and insurance superintendent of the state of LOCATION_2 (though that was a NUMERIC_1 off). PRONOUN was born on the DATE_3 and died DATE_2. PRONOUN weighed NUMERIC_2lbs. PRONOUN went to ORGANIZATION_3 in LOCATION_2 and ORGANIZATION_5 in LOCATION_1, where PRONOUN played football and was a member of ORGANIZATION_2. PRONOUN played the positions of a guard and a table for the ORGANIZATION_4 football team. PRONOUN graduated University with a LLB in Law. In DATE_4 PRONOUN had opened PRONOUN own law office and started reviewing LOCATION_2 laws. By DATE_1 PRONOUN was a chief clerk in the ORGANIZATION_1.",0.0
133,famous,famous_220_d_1_6.txt,adele,"PERSON_FIRSTNAME_1 is a woman that is respected in the community and possibly a musician depending on if you know PRONOUN or not. On Mondays, PRONOUN likes to sing. In fact NUMERIC_3 days a week PRONOUN likes to sing, or maybe NUMERIC_2 days with NUMERIC_1 day off. However every second Tuesday of the month PRONOUN takes the afternoon to write lyrics for inspiration for new albums. On the last Thursday of the month, PRONOUN goes out for a lunch with PRONOUN production team and celebrates any wins for the month. PERSON_FIRSTNAME_1 is a very successful artist and has come a long way since PRONOUN started. With numerous awards, PRONOUN could be arguably NUMERIC_1 of the most successful LOCATION_1 music artists.",0.0
381,famous,famous_83_d_1_10.txt,sam smith,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_2 is a singer-songwriter, known for PRONOUN song OTHER_IDENTIFYING_ATTRIBUTE_6 and Writing's on the Wall, the theme for OTHER_IDENTIFYING_ATTRIBUTE_7. PRONOUN breakthrough song is generally considered to be OTHER_IDENTIFYING_ATTRIBUTE_1 by OTHER_IDENTIFYING_ATTRIBUTE_5, to which PRONOUN was a featured artist. PERSON_LASTNAME_2 has had multiple LOCATION_1 number ones, including the aforementioned OTHER_IDENTIFYING_ATTRIBUTE_6, along with La La La, Too Good at Goodbyes and OTHER_IDENTIFYING_ATTRIBUTE_2, with PERSON_FIRSTNAME_2 PERSON_LASTNAME_1. PERSON_FIRSTNAME_1 PERSON_LASTNAME_2 came out as non-binary last year, and previously considered having a sex change. PERSON_FIRSTNAME_1 PERSON_LASTNAME_2 has won a huge range of awards, including NUMERIC_1 Brit Awards (Rising Star, DATE_2 and Best New Artist, DATE_1 , as well as a Golden Globe and Academy Award.",1.0
213,famous,famous_293_d_1_1.txt,benedict cumberbatch,"PRONOUN is LOCATION_2 actor. Has a child. PRONOUN is famous for movies such as TITLE Strange, NUMERIC_3 Years a Slave, Brexit and for the tv show OTHER_IDENTIFYING_ATTRIBUTE_1. PRONOUN also voiced over the OTHER_IDENTIFYING_ATTRIBUTE_4 in OTHER_IDENTIFYING_ATTRIBUTE_2. PRONOUN parents acted as PRONOUN character's parents in an episode of OTHER_IDENTIFYING_ATTRIBUTE_1. Recently PRONOUN went on a strike in support of the gender pay gap and how it was affecting female actors. PRONOUN is also know for some theatre work, mainly based in the LOCATION_3. In popular culture PRONOUN is often made off for PRONOUN long name, with people making up fake and funny alternatives. PRONOUN has been criticised due to PRONOUN family's wealth being linked to plantantions owned in the LOCATION_1.",0.0
1055,semifamous,semifamous_334_d_3_5.txt,kenny kramm,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 was an LOCATION_1 father of a child with a life treathening disease who decided to step up and make the life of PRONOUN daughter and all children in a similar condition easier. When PRONOUN infant daughter refused to take PRONOUN daily medicine due to its unpalatable taste, PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 started looking for a way to mask the bitter taste, and improve palatability by adding the same kind of flavours candy makers use. The task wasn't easy at the beginning, but PERSON_FIRSTNAME_1 had always been a resolute and inventive man and managed to get the compounds PRONOUN needed in the dosage PRONOUN needed. PRONOUN was helped by PRONOUN father who run the small farmacy firm where PERSON_FIRSTNAME_1 was employed as business manager. After the first success with PRONOUN daughter, PERSON_FIRSTNAME_1 thought that so many other children were in the same condition, and so many parents were as worried and as helpless as PRONOUN, so PRONOUN decided to found a small business specialised in supplying taste modulators for pediatric and veterinary medicines. PRONOUN was helped in the endeavour by PRONOUN father, who was a pharmacist, and made a success of the new business thanks to PRONOUN skills in advertising. PRONOUN originally trained in advertising design and was a skilful painter. PRONOUN also enjoyed hiking, and was well beloved in PRONOUN local community. Sadly when PRONOUN was only NUMERIC_2 years old PRONOUN contracted sepsy and died.",0.0
55,famous,famous_150_d_1_1.txt,benedict cumberbatch,"PERSON_FIRSTNAME_2 PERSON_LASTNAME_1 is NUMERIC_4 years old, born in the DATE_2 in Queen Charlotte’s and LOCATION_1, situated in LOCATION_3. PRONOUN parents, PERSON_FIRSTNAME_1 PERSON_LASTNAME_3 and PERSON_FIRSTNAME_3 PERSON_LASTNAME_4 are both actors. PRONOUN is a LOCATION_4 actor, and has won many awards including an Emmy, and a BAFTA award. PRONOUN is married to PERSON_FIRSTNAME_4 PERSON_LASTNAME_2, an opera OCCUPATION_1, playwright and former performer, and has NUMERIC_3 children. PRONOUN is most famous for PRONOUN portray of OTHER_IDENTIFYING_ATTRIBUTE_5 in the series OTHER_IDENTIFYING_ATTRIBUTE_1, which first launched in DATE_1. PRONOUN has also taken on roles in films such as NUMERIC_5 Years A Slave, Star Trek Into Darkness and voiced the character OTHER_IDENTIFYING_ATTRIBUTE_4 and OTHER_IDENTIFYING_ATTRIBUTE_2 in OTHER_IDENTIFYING_ATTRIBUTE_3 series.",0.3333333333333333
1132,semifamous,semifamous_41_d_3_8.txt,aleksandr gryazin,"PERSON_FIRSTNAME_1 is a professional retired LOCATION_2 footballer who has worked immensely in PRONOUN career. PRONOUN is only NUMERIC_5 years of age, and perhaps PRONOUN wanted to settle down after playing football for NUMERIC_1 years! PRONOUN is a private person, and keeps PRONOUN private life offline, however PRONOUN football career is the highlight and star of the show. Having payed for a LOCATION_1 team, PRONOUN made PRONOUN professional debut in DATE_1, as a midfielder. PRONOUN is also NUMERIC_1ft NUMERIC_4in making PRONOUN build aiding PRONOUN career. The team PRONOUN worked in, interestingly was the official team for the ORGANIZATION_1, and was extremely successful straight after OTHER_IDENTIFYING_ATTRIBUTE_1.",0.0
1018,semifamous,semifamous_300_d_3_8.txt,aleksandr gryazin,"PERSON_FIRSTNAME_3 PERSON_LASTNAME_1 PERSON_FIRSTNAME_3 PERSON_LASTNAME_1 was born on DATE_1 in LOCATION_1. PRONOUN played football for several ORGANIZATION_2 when PRONOUN became scouted as a teenager playing with PRONOUN friend in the local park. PERSON_FIRSTNAME_3 was always known as fast feet PERSON_FIRSTNAME_5 and PRONOUN mother described PRONOUN as having very strong kicking legs even in the womb. PERSON_FIRSTNAME_3 is NUMERIC_4ft tall with grey eyes and ginger hair. PRONOUN is married to PERSON_FIRSTNAME_6 and they have unidentical twin children PERSON_FIRSTNAME_4 and PERSON_FIRSTNAME_1, aged NUMERIC_1. PERSON_FIRSTNAME_2 still loves to play football in PRONOUN spare time, but now also enjoys playing ping-pong and scrabble. PERSON_FIRSTNAME_2 is now a billionaire after investing in oil shares and using compoud interest during PRONOUN time as a footballer. PRONOUN also donates to the ORGANIZATION_1 because PRONOUN realises that many footballers feel lost when they finish their footballing careers and don't know what they are doing anymore.",0.0
980,semifamous,semifamous_265_d_3_5.txt,kenny kramm,"Have you heard of PERSON_FIRSTNAME_2 PERSON_LASTNAME_1? If your answer is no, you're not the only NUMERIC_1. Born in DATE_2, PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 is a little known LOCATION_1 entrepreneur who's legacy centres around PRONOUN work making medicine taste better. PRONOUN was inspired by PRONOUN own hatred of many standard medicines and PRONOUN daughter's health complications, both of which drove PRONOUN to launch a company dedicated to adding flavouring to ill-tasting medicines. PRONOUN DATE_1 not be the most well known person around, but PRONOUN work with PRONOUN company ORGANIZATION_1 has delighted children and adults alike, and has continued to do so following PRONOUN death in DATE_1.",0.0
1039,semifamous,semifamous_31_d_3_5.txt,kenny kramm,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 was born in DATE_3 in LOCATION_2 but grew up in Potomac, LOCATION_3. PRONOUN started working for PRONOUN father's firm in LOCATION_1 in DATE_2. Before that PRONOUN has studied Adverstising Design at the ORGANIZATION_1 LOCATION_3 and worked as an art director but disliked this kind of work. PRONOUN daughter suffered with epileptic seizures when PRONOUN was only be few weeks old and has to take several doses of a foul tasting medication to prevent PRONOUN seizures but either refused to take it or spat it out resulting in more trips to the hospital. PERSON_LASTNAME_1's father suggested sweetening the medication to make it palatable and the NUMERIC_1 men sampled lots of flavours from various candies until PRONOUN found NUMERIC_2 PRONOUN liked and this worked. With some word of mouth PERSON_LASTNAME_1 created the company ORGANIZATION_2. PERSON_LASTNAME_1 died in DATE_1 following a sepsis infection.",0.0
925,semifamous,semifamous_215_d_3_10.txt,irvin brooks,"PERSON_FIRSTNAME_2 PERSON_LASTNAME_1 was an LOCATION_3 baseball player. A black man, PRONOUN was born in LOCATION_1 in DATE_1. PRONOUN is believed to have LOCATION_4 OTHER_IDENTIFYING_ATTRIBUTE_1 ancestry and has been erroneously described as OTHER_IDENTIFYING_ATTRIBUTE_2 in several history texts. PERSON_LASTNAME_1 spent PRONOUN career with NUMERIC_1 baseball team, the ORGANIZATION_1, based in LOCATION_2. PRONOUN played several positions and was noted as a hitter. PRONOUN was righthanded. PRONOUN was nicknamed PERSON_FIRSTNAME_1. PRONOUN lived and played ball in LOCATION_2. As it was the early NUMERIC_5th century, and PRONOUN was a black man, and PERSON_LASTNAME_1 had to play in leagues for non-white players called the Negro Leagues. PRONOUN died at the age of NUMERIC_1 in DATE_2.",0.0
196,famous,famous_278_d_1_4.txt,elton john,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 is a piano-playing LOCATION_1 pop star. PRONOUN music reached its peak in the DATE_1's. PRONOUN generally makes radio-friendly simple tunes. PERSON_FIRSTNAME_1's performances are camp and elaborate. PRONOUN has performed with diverse acts in genres like rock, soul, rockabily, to mention but a few. PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 has also participated in charity events, both local and global. PRONOUN has strived to raise awareness about the OTHER_IDENTIFYING_ATTRIBUTE_2 epidemic especially among gay individuals. PRONOUN was knighted by the OCCUPATION_1 OTHER_IDENTIFYING_ATTRIBUTE_1. Additionally, PRONOUN has received numerous Grammy Awards and was inducted in the ORGANIZATION_1 for PRONOUN contributions to the rock music genre.",0.0
1109,semifamous,semifamous_383_d_3_7.txt,charles black,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_3 was a constitutional jurist, most famous for PRONOUN authorship of the book, Impeachment: A Handbook, which served as an important tool for constitutional understanding during the OTHER_IDENTIFYING_ATTRIBUTE_3. Born in LOCATION_2 in DATE_2, PRONOUN worked as a professor of law for most of PRONOUN adult life. PRONOUN died aged NUMERIC_2 in LOCATION_1 in DATE_1. Due to PRONOUN vehement opposition to the death penalty, PERSON_LASTNAME_3 wrote a book called Capital Punishment: The Inevitability of Caprice and Mistake, outlining PRONOUN position on the increasingly mediaeval practice. During PRONOUN studies at university, PERSON_LASTNAME_3 developed an appreciation for jazz music. PRONOUN particular admiration for PERSON_FIRSTNAME_2 PERSON_LASTNAME_2 helped foster a burning desire to advance the civil rights movement in the south. Outside of academia, PERSON_LASTNAME_1 employed PRONOUN jurisprudential acumen in the seminal case of ORGANIZATION_1, for which PRONOUN wrote the legal briefs.",0.5
1085,semifamous,semifamous_361_d_3_1.txt,enoch lincoln,"PERSON_FIRSTNAME_2 was born in DATE_5 in LOCATION_5 and was known for being a LOCATION_1 representative for the state. PRONOUN was the Governor of LOCATION_3 from DATE_4 until PRONOUN death in DATE_1 and a Democratic Republican. PRONOUN studied to be a lawyer and in DATE_2 PRONOUN began practising this role in LOCATION_6. In DATE_3 PRONOUN became an elected member of the ORGANIZATION_2 which is the oldest ORGANIZATION_1 in LOCATION_2 history with a national focus. The city of PERSON_LASTNAME_1, LOCATION_3 is named after PRONOUN. PRONOUN won each term as Governor of LOCATION_3 with over NUMERIC_4% of the votes so was very popular with the people. PERSON_FIRSTNAME_2 PERSON_LASTNAME_1 was related to PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 distantly. PRONOUN died in Augusta, LOCATION_3.",0.0
60,famous,famous_155_d_1_10.txt,sam smith,"PERSON_FIRSTNAME_5 PERSON_LASTNAME_3, born PERSON_FIRSTNAME_4 PERSON_LASTNAME_3, is a singer from London, England. They were born in DATE_1 and use the pronouns they/them, and have come out as homosexual and non-binary. They have won numerous awards and to date have released NUMERIC_1 studio albums. Additionally, they have done a number of collaborative songs with other artists, such as PERSON_FIRSTNAME_3 PERSON_LASTNAME_2. They are related to the singer PERSON_FIRSTNAME_2 PERSON_LASTNAME_1, and the actor PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 who appeared in the hit TV show OTHER_IDENTIFYING_ATTRIBUTE_2. They are very open about their identity, and are an icon to numerous OTHER_IDENTIFYING_ATTRIBUTE_1 people. They are very active on social media platforms, such as Twitter, Instagram and Facebook.",0.0
974,semifamous,semifamous_25_d_3_10.txt,irvin brooks,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 was a successful and famous baseball player with the ORGANIZATION_1 in LOCATION_1, during the segregation years of the DATE_1's and NUMERIC_2's. From all accounts PRONOUN was a talented, determined player and an outstanding hitter; much admired throughout PRONOUN career and beyond. PRONOUN was also a role model for many LOCATION_3 who saw through PRONOUN success a path to a sporting career of their own. Many current LOCATION_2 baseball players, and even sports people in other areas cite PRONOUN as the inspiration for their own career. Unfortunately in the current febrile, racist atmosphere of LOCATION_1 it is more important than ever to highlight people such as PERSON_FIRSTNAME_2 PERSON_LASTNAME_1 so those still fighting for racial equality have hope and positivity to give them strength.",0.0
1029,semifamous,semifamous_310_d_3_8.txt,aleksandr gryazin,"I am a footballer I am NUMERIC_1 years old. ........................................................................................................................,...........although I like many other sports. I might take up coaching when I retire ...........................Or I might start up a football a emend ................... .......................................... I would like to pass my knowledge on to other people who are intrested in the sport. ..................................................................... ........ l am also thinking of starting a nutrition company for people like myself so that they can get the proper nurtures in the need when training.......",0.0
829,semifamous,semifamous_129_d_3_7.txt,charles black,"PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 jr was an american PRONOUN is unfortunately is not alive anymore but was an extreamly clever man who was born in DATE_1 NUMERIC_9 NUMERIC_5. PRONOUN sadly passed away pn DATE_2 the NUMERIC_2th DATE_3 age NUMERIC_1. PRONOUN was from OTHER_IDENTIFYING_ATTRIBUTE_1 but died in new york. PRONOUN was an american scholar of constitional law. PRONOUN tuaght as a professor of law for a long time, from NUMERIC_8 NUMERIC_7. PRONOUN also had an intrest of poetry, PRONOUN wrote poetry at the age of NUMERIC_6 which PRONOUN published NUMERIC_1 volumes. PRONOUN had a masters degree in english and was a teacher in the army air corps. A very clever man who was mostly known for writing legal briefs for the famous DATE_2 OTHER_IDENTIFYING_ATTRIBUTE_2 v board of education suite.",0.0
1001,semifamous,semifamous_286_d_3_2.txt,william bettendorf,"PERSON_FIRSTNAME_3 PERSON_LASTNAME_1 was a German- American inventor, who was born in DATE_5, and died in DATE_1. PRONOUN invented a type of Plough, and metal wheel, and some other stuff, dying with NUMERIC_4 patents. PRONOUN first wife was called PERSON_FIRSTNAME_2, and they had NUMERIC_1 children, PERSON_FIRSTNAME_4 and PERSON_FIRSTNAME_1. After PRONOUN did in DATE_3, PRONOUN married PRONOUN second wife in DATE_2. PRONOUN started building a family estate in LOCATION_1, with the help of artisans from all over the world. Sadly PRONOUN died a week before they were due to move in. PRONOUN second wife died in DATE_4, and lived in their house until when, so definitely married well and reaped the benefits of PRONOUN inventions.",0.0
840,semifamous,semifamous_139_d_3_5.txt,kenny kramm,"PERSON_LASTNAME_1 was an LOCATION_2 entrepreneur who invented a system of adding flavoring to medicines to make them easier to take. PERSON_LASTNAME_1 was born in LOCATION_1, D.C. and grew up in Potomac, Maryland. PRONOUN graduated from the ORGANIZATION_1 in DATE_3 with a degree in advertising design and became an art director for an agency. After developing a dislike for that career in DATE_2, PRONOUN joined PRONOUN father's pharmacy firm in LOCATION_1 as a business manager. NUMERIC_2] PERSON_LASTNAME_1's youngest daughter began suffering epileptic seizures weeks after PRONOUN birth in DATE DATE_5. Once PRONOUN was able to be released from the hospital, PRONOUN balked at the multiple daily doses of phenobarbital needed to prevent grand mal seizures, by either refusing to take the ill-tasting medicine or holding it in PRONOUN mouth until it leaked out. PRONOUN seizures continued, resulting in more hospital trips. Within a few months, PERSON_LASTNAME_1 and PRONOUN wife PERSON_FIRSTNAME_1 decided something must be done. DATE_5 In DATE_1, PERSON_LASTNAME_1's father, PERSON_FIRSTNAME_2, suggested sweetening the medicine with flavorings used by candy manufacturers. The men spent their evenings, after store hours, tasting different samples. PERSON_LASTNAME_1 then took home the flavored medicine that PRONOUN hoped PRONOUN daughter would approve. PRONOUN ultimately picked NUMERIC_1 and resumed PRONOUN proper dosage. Parents from the nearby children's hospital heard about the flavoring, and OTHER_IDENTIFYING_ATTRIBUTE_1 went into business. DATE_5",0.0
834,semifamous,semifamous_133_d_3_1.txt,enoch lincoln,"PERSON_FIRSTNAME_2 was a man who was born and died in LOCATION_1, PRONOUN also spent time in LOCATION_2, PRONOUN was really clever, studying law in both places and taking high positions in law and politics. PRONOUN is a distant relative of PERSON_FIRSTNAME_1 PERSON_LASTNAME_1 and had siblings. PRONOUN had curly hair and was handsome. PRONOUN was ambitious and wealthy for a man of PRONOUN time. PRONOUN worked hard for the legal system and so I imagine PRONOUN enjoyed PRONOUN down time, drinking whisky and singing and dancing as well as enjoying walking and outdoor pursuits. PRONOUN had a nice accent and spoke beautifully. People of LOCATION_1 respect PRONOUN work and PRONOUN has a life that would attract interest.",0.0
